date,time,run,trial,treatment,ps_tank_end,room_end,tank,light,sequence,day,hab_avail,ps_avail,both_avail,hours_havail,hours_lout,c_hab,c_open_screen,c_open_cent,c_open_hab,c_open,c_ps,c_both
07/11/2020,22:00:00,1,5,0,0,1,5,1,1,1,0,1,0,,8,0,0,0,0,0,12,12
07/11/2020,22:00:00,1,6,0,0,1,6,1,1,1,0,1,0,,8,0,0,0,0,0,12,12
07/11/2020,23:00:00,1,1,1,0,0,1,1,1,1,0,1,0,,9,0,0,0,0,0,12,12
07/11/2020,23:00:00,1,2,1,0,0,2,1,1,1,0,1,0,,9,0,1,0,0,1,11,11
07/11/2020,23:00:00,1,3,1,0,0,3,1,1,1,0,1,0,,9,0,3,0,0,3,9,9
07/11/2020,23:00:00,1,4,0,0,1,4,1,1,1,0,1,0,,9,0,0,0,0,0,12,12
07/11/2020,23:00:00,1,5,0,0,1,5,1,1,1,0,1,0,,9,0,0,0,0,0,12,12
07/11/2020,23:00:00,1,6,0,0,1,6,1,1,1,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,00:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,10,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,01:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,11,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,02:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,12,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,03:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,13,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,04:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,14,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,05:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,15,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,06:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,07:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,08:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,09:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,10:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,10:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,10:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,1,0,0,1,11,11
08/11/2020,10:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,10:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,10:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,11:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,12:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,13:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,1,1,0,0,1,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,2,1,0,0,2,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,3,1,0,0,3,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,4,0,0,1,4,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,5,0,0,1,5,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,14:00:00,1,6,0,0,1,6,0,1,2,0,1,0,,0,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,15:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,1,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,16:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,2,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,17:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,3,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,18:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,4,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,19:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,5,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,20:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,6,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,21:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,7,0,0,0,0,0,12,12
08/11/2020,22:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,8,0,3,1,1,5,7,7
08/11/2020,22:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,8,0,1,0,0,1,11,11
08/11/2020,22:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,8,0,0,0,0,0,12,12
08/11/2020,22:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,8,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,1,1,0,0,1,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,2,1,0,0,2,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,3,1,0,0,3,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,4,0,0,1,4,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,5,0,0,1,5,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
08/11/2020,23:00:00,1,6,0,0,1,6,1,1,2,0,1,0,,9,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,1,1,0,0,1,1,1,3,0,1,0,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,2,1,0,0,2,1,1,3,0,1,0,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,3,1,0,0,3,1,1,3,0,1,0,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,4,0,0,1,4,1,1,3,0,1,0,,10,0,0,0,0,0,12,12
09/11/2020,00:00:00,1,5,0,0,1,5,1,1,3,0,1,0,,10,0,0,0,0,0,12,12
